,price,city,region,surface,rooms,bathrooms,etat_age,garden,parking,pool,beach_view,mountain_view,central_heating,air_conditioning,elevator
88,410000.0,tunis,ain zaghouan nord,110.0,2,2,new,No,Yes,No,No,No,Yes,Yes,No
89,405000.0,ariana,soukra,127.0,2,1,new,Yes,Yes,No,No,No,Yes,Yes,No
90,260000.0,ben arous,medina jedida,122.0,3,2,new,No,Yes,No,No,No,Yes,Yes,No
91,620000.0,tunis,aouina,145.0,3,2,new,Yes,Yes,No,No,No,Yes,Yes,No
92,265000.0,tunis,aouina,95.0,2,1,bon etat,No,No,No,No,No,No,No,No
93,295000.0,tunis,aouina,143.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
94,230000.0,tunis,aouina,109.0,2,2,bon etat,No,No,No,No,No,No,No,No
95,310000.0,tunis,aouina,129.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
96,180000.0,tunis,aouina,60.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
97,370000.0,tunis,carthage,130.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
98,180000.0,tunis,aouina,50.0,1,1,new,No,No,No,No,No,Yes,No,No
99,180000.0,tunis,aouina,74.0,1,1,new,No,No,No,No,No,Yes,Yes,Yes
100,175000.0,tunis,aouina,56.0,2,1,good condition,No,Yes,No,No,No,Yes,No,Yes
101,240000.0,ben arous,medina jedida,136.0,2,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
102,215000.0,ben arous,ben arous,136.0,3,2,bon etat,No,No,No,No,No,Yes,No,No
103,225000.0,ariana,menzah 7,106.0,3,2,bon état,No,No,No,No,No,Yes,No,No
104,275000.0,ariana,soukra,89.0,2,1,very good condition,No,Yes,No,No,No,Yes,Yes,No
105,183000.0,tunis,agba,94.0,2,1,bon état,No,No,No,No,No,No,No,No
106,320000.0,ariana,menzah 6,150.0,3,2,bon état,No,No,No,No,No,No,No,Yes
107,180000.0,ariana,ariana ville,90.0,3,1,bon etat,No,No,No,No,No,Yes,Yes,No
108,140000.0,tunis,bardo,50.0,1,1,bon etat,No,No,No,No,No,Yes,No,No
109,329000.0,tunis,aouina,137.0,3,2,bon état,No,Yes,No,No,No,Yes,No,No
110,1150000.0,tunis,gammarth,200.0,4,3,bon etat,No,Yes,No,No,Yes,Yes,Yes,No
111,308000.0,tunis,aouina,102.0,2,1,new,No,Yes,No,No,No,Yes,No,No
113,750000.0,ariana,soukra,316.0,3,2,new,Yes,Yes,Yes,No,No,No,No,No
114,270000.0,ben arous,medina jedida,121.0,3,2,new,No,Yes,No,No,No,No,Yes,Yes
115,660000.0,tunis,aouina,250.0,6,2,bon etat,No,No,No,No,No,No,No,No
116,219000.0,ariana,ennasr 2,73.0,1,1,bon etat,No,Yes,No,No,No,No,Yes,Yes
117,410000.0,ariana,ennasr,171.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
118,280000.0,ariana,ennasr 2,91.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
119,330000.0,tunis,ain zaghouan nord,63.0,1,1,new,No,No,Yes,No,No,No,No,No
120,1500000.0,tunis,lac 1,260.0,4,2,new,No,Yes,No,Yes,No,No,No,No
122,450000.0,ariana,ennasr 2,160.0,3,2,bon etat,No,Yes,No,No,Yes,Yes,Yes,No
123,315000.0,ariana,ennasr 2,89.0,1,1,bon etat,No,No,No,No,No,Yes,Yes,No
124,265000.0,ariana,ennasr 2,113.0,3,3,bon état,No,Yes,No,No,No,Yes,No,No
125,365000.0,ariana,jardins el menzah,150.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
126,170000.0,tunis,ain zaghouan,49.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
127,340000.0,tunis,aouina,155.0,4,2,bon etat,No,No,No,No,No,No,No,No
128,63000.0,tunis,aouina,60.0,1,1,new,No,No,No,No,No,No,No,No
129,329000.0,tunis,aouina,137.0,4,2,bon etat,No,No,No,No,No,No,No,No
130,308000.0,tunis,aouina,100.0,2,1,new,No,Yes,No,No,No,Yes,No,Yes
131,255000.0,ben arous,boumhel,116.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
132,600000.0,ben arous,boumhel,450.0,7,4,bon etat,No,No,No,No,No,No,No,No
133,260000.0,ariana,menzah 7,85.0,2,1,renovated,No,Yes,No,No,No,Yes,Yes,No
134,340000.0,ariana,ennasr 2,100.0,2,1,bon etat,No,No,No,No,No,No,Yes,Yes
135,485000.0,ariana,menzah 7,178.0,3,2,bon état,No,No,No,No,No,Yes,No,Yes
136,268000.0,tunis,aouina,64.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
137,380000.0,tunis,aouina,95.0,2,1,new,No,No,No,No,No,Yes,Yes,Yes
138,854000.0,tunis,aouina,160.0,3,3,new,Yes,Yes,No,No,No,Yes,Yes,Yes
139,365000.0,tunis,lac 2,67.0,1,1,bon etat,No,No,No,No,No,No,No,No
140,550000.0,tunis,lac 2,130.0,2,2,bon etat,No,No,No,No,No,No,No,No
141,550000.0,tunis,lac 2,131.0,2,1,bon etat,No,No,No,No,No,No,No,No
142,540000.0,tunis,tunis,135.0,3,3,new,No,Yes,No,No,No,Yes,Yes,Yes
143,548000.0,tunis,aouina,101.0,2,3,new,No,Yes,No,No,No,Yes,Yes,Yes
144,634000.0,tunis,aouina,167.0,3,2,new,No,Yes,No,No,No,Yes,Yes,Yes
145,439000.0,ariana,soukra,130.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
