price,transaction,title,city,region,description,surface,bathrooms,rooms
310000.0,sale,A vendre,ariana,menzah 6,"Cet appartement est situé au rez-de-chaussée dans une résidence équipée d'un ascenseur à El Menzah 6, Il offre un salon lumineux et une cuisine aménagée et équipée. Les deux chambres à coucher se partagent une salle de bain avec douche italienne, et il y a également une salle d'eau supplémentaire. De plus, l'appartement dispose d'un système de chauffage central.",100,1.0,2
350000.0,sale,Vente appartement s+3 à la Soukra ,ariana,soukra,"Cet appartement fait partie d’une résidence sécurisée et bien entretenue à La Soukra. Son emplacement est particulièrement avantageux, étant proche de tous les commerces. Le hall d'entrée s'ouvre sur la pièce de réception, offrant un espace de vie convivial où il est possible d'aménager un salon et une salle à manger. La cuisine est équipée d'éléments de rangement et est pourvue d'une plaque de cuisson, d'une hotte aspirante et d'un four électrique. Elle est également dotée d'un séchoir. Une salle d’eau pour les invités est prévue. La partie nuit comprend trois chambres à coucher, dont deux disposent de leur propre dressing. Elles se partagent une salle de bain. L'appartement est équipé d'une climatisation en split système et d’un chauffage central pour un confort optimal tout au long de l'année. De plus, une place de parking au sous-sol est réservée aux futurs habitants.",140,2.0,3
550000.0,sale,A vendre un appartement jamais habité à kheireddine,tunis,la goulette,"A vendre un appartement s+3 à Kheireddine construit en 2016, très lumineux au 1er étage avec ascenseur, suite parentale, balcon, séchoir, climatiseurs et placards dans chaque pièce (2 placards par pièce dans les chambres à coucher), salle d'eau et salle de bain, grande cuisine équipée ",144,2.0,3
700000.0,sale,Appartement S+3 à vendre à Chotrana 1,ariana,chotrana 1,"REMAX Four Seasons vous propose à la vente un magnifique appartement S+3 situé dans le quartier prisé de Chotrana 1. Cet appartement spacieux et lumineux offre une surface habitable de 147,8 m², idéale pour une famille ou pour ceux qui recherchent un espace de vie généreux. L’appartement dispose de trois chambres confortables, d’un salon spacieux, d’une cuisine moderne et de deux salles de bains. Chaque pièce est conçue pour offrir un maximum de confort et de fonctionnalité. Atouts de l'Appartement: Terrasse: Profitez d’une grande terrasse de 52 m², parfaite pour les moments de détente en plein air, les repas en famille ou entre amis. Jardin: Un jardin privé de 107 m², un véritable havre de paix pour les amoureux de la nature et les familles avec enfants. Emplacement: Situé à Chotrana 1, un quartier résidentiel calme et sécurisé, proche de toutes les commodités (écoles, commerces, transports en commun). Cet appartement est une opportunité rare à saisir rapidement. N'hésitez pas à contacter votre conseillère Malek Mnif pour plus d'informations ou pour organiser une visite. ",147.8,2.0,3
195000.0,sale,A Vendre Un superbe S1,tunis,aouina,FRATELLIMMO  vous propose à la VENTE un appartement S1    * Kitchenette américain ouvert sur un Salon * Chambre à coucher * Salle d'eau avec douche - équipée par : * Chauffage central *Un climatiseur,61,1.0,-1
154999.0,sale,A VENDRE APPARTEMENT S+2 RADES,ben arous,rades,"A vendre un joli appartement s+2 haut standing au 2éme étage d'une résidence R+2 Rades méliane d'une superficie de 105m2. L'appartement se compose d'un salon avec balcon vue sur jardin et 2chambres partageant une salle de bain, cuisine agencée et d'un séchoir. Très lumineux, bien orienté, équipé de placard de rangement, volets roulant, porte d'entrée en bois noble, interphone, place parking. Résidence MAXULA contacter le Afficher le numéro. prix 155MD ",105,1.0,3
180000.0,sale,A Vendre appartement S+4 Montfleury,tunis,monfleury,"A vendre Appartement S+4 sur Rue du Sahel près du poste de police. 97 m² Rénovée : Toutes les portes fenêtre aluminium, chauffage central (un chauffage fente pour chaques chambre), parterre céramique, cuisine équipée , salle de bain renovée ... Prix 180.000 dt  Afficher le numéro",97,1.0,4
330000.0,sale,À vendre s1 avec jardin à Chotrana 1 ,ariana,chotrana 1,#vente #LaSoukra#chotrana1 #s+1#jardin On vous propose à la vente un Appartement en S+1 de 89.5m2 au RDC avec jardin de 31m2 à Chotrana 1 -Un salon qui donne sur le jardin -Une chambre à coucher avec dressing -Une cuisine bien équipée avec séchoir -Une salle de bain Climatisation en split system Chauffage Centrale une place de parking au sous-sol Prix : 330 md dt Pour le visiter et plus d'informations veuillez nous contacter sur le Afficher le numéro,89.5,1.0,1
353400.0,sale,À vendre s2 et S3 neuf à la soukra ,ariana,soukra,"#S+2/s+3 La Soukra#vente(2850dtm2 TTC) On vous propose à la vente des Appartement S+2 et S3 à la Soukra directement promoteur (Rdc avec jardin 1ère et 2ème étage) ✔️Salon Lumineux donnant sur un Balcon ✔️Deux Chambres à coucher avec dressing dont une avec un petit balcon (Suite dans les S3) ✔️Salle d'eau invités ✔️Salle de bain commune ✔️Cuisine bien équipé qui donne sur le séchoir ✔️Climatisation Split et chauffage central avec 1 place parking sous sol Prix m2:2850dt /ttc Pour plus d'informations, contactez le Afficher le numéro",124,2.0,2
135000.0,sale,appartement 2 pièces et salon,ben arous,hammam lif,a vendre jolie appartement situé au 3etage avec ascenseur au centre ville hammam lif avenue Habib Bourguiba composé d'un salon plus 2 chambres cuisine sdb titre foncier individuel tel Afficher le numéro,70,1.0,3
