surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
115.0,Cite Ettaamir,3.0,2.0,1,0,0,0,0,0,1,135000.0
43.0,Bab Bhar,1.0,1.0,0,0,0,0,0,1,1,85000.0
55.0,Cite Ennasr 1,1.0,1.0,0,0,0,1,1,1,1,180000.0
135.0,Cite Ennasr 1,3.0,2.0,1,0,0,1,0,1,1,510000.0
80.0,Cite Oplympique,2.0,2.0,1,0,0,1,1,1,0,210000.0
57.0,Berge Du Lac,2.0,1.0,0,0,0,0,0,1,1,230000.0
70.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,230000.0
162.0,La Soukra,3.0,2.0,1,0,0,0,1,1,1,490000.0
98.0,La Soukra,2.0,2.0,1,0,0,0,1,1,1,270000.0
100.0,El Mourouj 2,2.0,1.0,1,0,0,1,0,1,0,120000.0
63.0,El Aouina,1.0,1.0,0,0,0,0,0,1,1,185000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,259000.0
75.0,El Aouina,1.0,1.0,0,0,0,0,0,0,0,189000.0
135.0,Cite Ennouzha,3.0,2.0,1,0,0,0,1,1,0,220000.0
183.0,Cite Du Stade,3.0,2.0,1,0,0,0,1,1,1,775000.0
63.0,Ain Zaghouan,1.0,1.0,0,0,0,0,0,1,1,174000.0
73.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,183000.0
68.0,El Aouina,1.0,1.0,0,0,0,0,0,1,1,169000.0
138.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,327000.0
157.0,Jardins de Carthage,2.0,2.0,0,0,0,0,1,1,1,480000.0
123.0,Jardins de Carthage,2.0,2.0,1,0,0,0,1,1,1,713000.0
97.0,El Medina,2.0,1.0,0,0,0,0,0,0,0,139000.0
238.0,Berge Du Lac,3.0,2.0,1,0,0,0,1,1,1,100000.0
80.0,Cite Ennouzha,3.0,1.0,0,0,0,0,0,0,0,150000.0
114.0,Ariana Essoughra,2.0,1.0,1,0,0,0,1,1,0,295000.0
