category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,3.0,2.0,200.0,À Vendre,550000.0,Ariana,La Soukra,5.740362689494244
Appartements,3.0,1.0,70.0,À Vendre,110000.0,Ariana,Borj Louzir,5.041392685158225
Appartements,4.0,1.0,170.0,À Vendre,2600000.0,Ariana,La Soukra,6.414973347970818
Appartements,3.0,1.0,150.0,À Vendre,320000.0,Ariana,Ennasr,5.505149978319906
Appartements,2.0,1.0,143.0,À Vendre,360000.0,Ariana,La Soukra,5.556302500767287
Appartements,3.0,1.0,121.0,À Vendre,167500.0,Ariana,La Soukra,5.224014811372864
Appartements,3.0,2.0,140.0,À Vendre,280000.0,Ariana,Jardins D'el Menzah,5.447158031342219
Appartements,3.0,2.0,170.0,À Vendre,430000.0,Ariana,Ennasr,5.633468455579586
Appartements,1.0,1.0,45.0,À Vendre,80000.0,Ariana,La Soukra,4.903089986991944
Appartements,3.0,1.0,98.0,À Vendre,130000.0,Ariana,Ariana,5.113943352306837
Appartements,4.0,2.0,165.0,À Vendre,310000.0,Ariana,Autres villes,5.491361693834273
Appartements,1.0,1.0,60.0,À Vendre,180000.0,Ariana,Ennasr,5.2552725051033065
Appartements,3.0,1.0,75.0,À Vendre,130000.0,Ariana,Borj Louzir,5.113943352306837
Appartements,3.0,1.0,121.0,À Vendre,167500.0,Ariana,La Soukra,5.224014811372864
Appartements,2.0,1.0,95.0,À Vendre,220000.0,Ariana,La Soukra,5.342422680822207
Appartements,2.0,1.0,126.0,À Vendre,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Appartements,2.0,1.0,100.0,À Vendre,223000.0,Ariana,La Soukra,5.348304863048161
Appartements,1.0,1.0,60.0,À Vendre,180000.0,Ariana,Autres villes,5.2552725051033065
Appartements,2.0,1.0,60.0,À Vendre,170000.0,Ariana,La Soukra,5.230448921378274
Appartements,2.0,1.0,108.0,À Vendre,210000.0,Ariana,Borj Louzir,5.32221929473392
Appartements,2.0,1.0,170.0,À Vendre,330000.0,Ariana,Ennasr,5.518513939877887
