Locality,Surface,Price,rooms,bathrooms
Rades,75.0,100000.0,2.0,1
Ariana Ville,105.0,400000.0,2.0,2
Hammam Chatt,80.0,95000.0,2.0,1
El Mourouj,86.0,125000.0,2.0,1
Ariana Ville,68.0,210000.0,1.0,1
La Marsa,85.0,200000.0,2.0,1
Raoued,96.0,140000.0,2.0,1
Nouvelle Medina,70.0,165000.0,2.0,1
Ariana Ville,70.0,165000.0,2.0,1
Nouvelle Medina,122.0,220000.0,3.0,2
Ain Zaghouan,135.0,675000.0,3.0,2
Ain Zaghouan,80.0,280000.0,2.0,1
El Menzah,147.0,330000.0,3.0,2
La Soukra,95.0,175000.0,2.0,1
Ariana Ville,156.0,260000.0,3.0,3
La Goulette,69.0,165000.0,1.0,1
Raoued,150.0,400000.0,3.0,3
Carthage,152.0,285000.0,3.0,3
Ariana Ville,147.0,350000.0,3.0,2
Nouvelle Medina,80.0,160000.0,2.0,1
La Soukra,73.0,110000.0,2.0,1
Hammam Chatt,103.0,170000.0,3.0,2
La Marsa,160.0,384000.0,3.0,3
Ariana Ville,134.0,280000.0,3.0,2
Raoued,70.0,110000.0,2.0,1
Ariana Ville,49.0,169000.0,1.0,1
Cite El Khadra,200.0,420000.0,4.0,3
La Soukra,200.0,420000.0,4.0,3
La Marsa,40.0,200000.0,1.0,1
La Soukra,75.0,110000.0,2.0,1
El Mourouj,110.0,135000.0,3.0,2
El Omrane,59.0,135000.0,1.0,1
Ezzahra,90.0,190000.0,2.0,1
La Marsa,112.0,280000.0,3.0,2
El Menzah,200.0,400000.0,4.0,3
Mannouba,104.0,195000.0,1.0,1
La Marsa,120.0,402000.0,3.0,2
Douar Hicher,75.0,95000.0,2.0,1
La Marsa,107.0,260000.0,3.0,2
Ain Zaghouan,87.0,437000.0,2.0,1
Ain Zaghouan,143.0,337000.0,1.0,1
La Marsa,74.0,185000.0,2.0,1
La Marsa,85.0,350000.0,2.0,1
Ariana Ville,120.0,195000.0,3.0,2
El Mourouj,90.0,200000.0,2.0,1
Mannouba,70.0,131000.0,2.0,1
Ariana Ville,120.0,240000.0,3.0,2
Ain Zaghouan,145.0,600000.0,2.0,2
La Marsa,118.0,291035.0,3.0,2
Mornag,78.0,130000.0,2.0,1
Ezzahra,70.0,130000.0,2.0,1
La Marsa,124.0,265000.0,3.0,2
La Soukra,174.0,550000.0,4.0,3
La Marsa,140.0,350000.0,3.0,2
Hammam Lif,76.0,130000.0,2.0,1
Sidi El Bechir,170.0,245000.0,3.0,3
Nouvelle Medina,75.0,185000.0,2.0,1
El Kram,165.0,650000.0,1.0,1
La Soukra,125.0,238000.0,3.0,2
La Soukra,162.0,427000.0,3.0,3
Ariana Ville,114.0,570000.0,1.0,1
La Marsa,146.0,320000.0,3.0,2
La Soukra,110.0,200000.0,3.0,2
El Menzah,185.0,495000.0,4.0,3
Rades,122.0,230000.0,1.0,1
Ariana Ville,70.0,145000.0,2.0,1
La Marsa,100.0,400000.0,2.0,1
Ariana Ville,120.0,285000.0,3.0,2
Hammam Chatt,73.0,171550.0,2.0,1
Ben Arous,75.0,149000.0,2.0,1
Nouvelle Medina,115.0,200000.0,1.0,1
Nouvelle Medina,130.0,320000.0,3.0,2
Ain Zaghouan,131.0,655000.0,3.0,2
La Soukra,125.0,195000.0,3.0,2
Bab Bhar,120.0,350000.0,3.0,2
Rades,164.0,300000.0,3.0,3
El Kram,120.0,550000.0,1.0,1
El Kram,200.0,900000.0,1.0,1
Ariana Ville,87.0,290000.0,2.0,1
La Marsa,70.0,220000.0,2.0,1
Rades,90.0,190000.0,2.0,1
Ariana Ville,117.0,370000.0,3.0,2
La Soukra,129.0,440000.0,3.0,2
La Marsa,145.0,400000.0,3.0,2
Nouvelle Medina,104.0,275600.0,3.0,2
Raoued,130.0,285000.0,3.0,2
La Soukra,109.0,195000.0,3.0,2
La Marsa,110.0,460000.0,2.0,2
Ariana Ville,100.0,270000.0,3.0,2
Ariana Ville,120.0,350000.0,3.0,2
Ain Zaghouan,117.0,210000.0,3.0,2
Bab Bhar,88.0,170000.0,2.0,1
El Kram,147.0,185000.0,3.0,2
Hammam Chatt,74.0,173900.0,2.0,1
La Soukra,165.0,325000.0,3.0,3
Ariana Ville,85.0,270000.0,2.0,1
Ariana Ville,145.0,425000.0,3.0,2
La Marsa,170.0,590000.0,4.0,3
Ariana Ville,189.0,530000.0,4.0,3
Ezzahra,75.0,180000.0,2.0,1
Ain Zaghouan,75.0,375000.0,2.0,1
Mannouba,80.0,135000.0,2.0,1
Ariana Ville,167.0,370000.0,3.0,3
La Marsa,80.0,200000.0,2.0,1
Ain Zaghouan,160.0,620000.0,3.0,3
El Mourouj,180.0,250000.0,4.0,3
Ariana Ville,186.0,690000.0,4.0,3
La Marsa,118.0,291000.0,3.0,2
Ariana Ville,149.0,287000.0,3.0,2
La Marsa,140.0,280000.0,3.0,2
La Marsa,136.0,327000.0,3.0,2
Ariana Ville,168.0,485000.0,3.0,3
La Soukra,200.0,425000.0,3.0,3
El Menzah,160.0,520000.0,3.0,3
Rades,83.0,200000.0,2.0,1
La Soukra,165.0,305000.0,3.0,3
Ain Zaghouan,133.0,390000.0,3.0,2
La Soukra,111.0,270000.0,2.0,2
Raoued,76.0,125000.0,2.0,1
La Soukra,92.0,250000.0,2.0,1
Raoued,128.0,130000.0,3.0,2
El Mourouj,80.0,115000.0,2.0,1
La Marsa,160.0,690000.0,3.0,3
El Mourouj,120.0,225000.0,2.0,2
La Marsa,143.0,335000.0,3.0,2
El Mourouj,90.0,148000.0,2.0,1
Nouvelle Medina,121.0,270000.0,3.0,2
Ain Zaghouan,77.0,245000.0,2.0,1
Ain Zaghouan,60.0,180000.0,1.0,1
Raoued,111.0,195000.0,3.0,2
La Marsa,140.0,410000.0,3.0,2
La Marsa,135.0,295000.0,3.0,2
El Omrane Superieur,76.0,170000.0,2.0,1
Ariana Ville,120.0,280000.0,2.0,2
Ariana Ville,176.0,330000.0,3.0,3
Ariana Ville,120.0,250000.0,3.0,2
La Soukra,100.0,170000.0,3.0,2
El Menzah,90.0,230000.0,2.0,1
La Soukra,145.0,400000.0,3.0,2
Carthage,50.0,320000.0,1.0,1
La Marsa,47.0,350000.0,1.0,1
La Marsa,90.0,270000.0,2.0,1
Ariana Ville,144.0,403000.0,3.0,2
Mannouba,105.0,210000.0,3.0,2
Ariana Ville,51.0,140000.0,1.0,1
El Ouerdia,111.0,170000.0,3.0,2
Ain Zaghouan,120.0,506620.0,2.0,2
Bou Mhel El Bassatine,154.0,260000.0,3.0,3
El Menzah,85.0,247000.0,2.0,1
Nouvelle Medina,128.0,250000.0,3.0,2
Ain Zaghouan,170.0,739000.0,3.0,3
Mornag,80.0,105000.0,2.0,1
La Soukra,140.0,300000.0,3.0,2
Ariana Ville,86.0,190000.0,2.0,1
El Ouerdia,70.0,83000.0,2.0,1
Ariana Ville,142.0,295000.0,3.0,2
Ariana Ville,117.0,327000.0,3.0,2
Ain Zaghouan,169.0,530000.0,3.0,3
El Mourouj,90.0,135000.0,2.0,1
El Mourouj,90.0,110000.0,2.0,1
Ain Zaghouan,127.0,440000.0,2.0,2
La Soukra,140.0,370000.0,3.0,2
Nouvelle Medina,115.0,200000.0,2.0,2
El Kram,147.0,185000.0,3.0,2
La Marsa,56.0,370000.0,1.0,1
La Soukra,140.0,370000.0,3.0,2
Ain Zaghouan,156.0,702000.0,3.0,3
Nouvelle Medina,170.0,550000.0,4.0,3
La Marsa,105.0,280000.0,2.0,2
Cite El Khadra,100.0,227000.0,3.0,2
Ain Zaghouan,98.0,300000.0,2.0,1
El Menzah,160.0,420000.0,3.0,3
Ain Zaghouan,146.0,315000.0,3.0,2
Raoued,100.0,150000.0,3.0,2
Ain Zaghouan,129.0,645000.0,3.0,2
Ariana Ville,148.0,480000.0,3.0,2
La Soukra,55.0,165000.0,1.0,1
La Marsa,130.0,300000.0,3.0,2
Ain Zaghouan,145.0,390000.0,3.0,2
Ariana Ville,55.0,150000.0,1.0,1
Ezzahra,120.0,260000.0,3.0,2
Ezzahra,98.0,235000.0,2.0,1
Ariana Ville,86.0,180000.0,2.0,1
El Mourouj,150.0,310000.0,3.0,3
La Marsa,121.0,295000.0,2.0,2
El Menzah,90.0,370000.0,2.0,1
La Marsa,180.0,370000.0,4.0,3
El Kram,200.0,800000.0,1.0,1
Raoued,45.0,100000.0,1.0,1
La Soukra,174.0,557000.0,1.0,1
Ariana Ville,146.0,350000.0,3.0,2
Ezzahra,95.0,280000.0,2.0,1
Mannouba,120.0,240000.0,3.0,2
La Marsa,90.0,200000.0,2.0,1
Ben Arous,84.0,160000.0,2.0,1
Rades,95.0,195000.0,2.0,1
Cite El Khadra,110.0,200000.0,3.0,2
La Soukra,75.0,250000.0,2.0,1
La Soukra,175.0,485000.0,4.0,3
Ain Zaghouan,170.0,700000.0,3.0,3
Ain Zaghouan,180.0,520000.0,3.0,3
El Menzah,136.0,465000.0,2.0,2
Ariana Ville,60.0,180000.0,1.0,1
Ezzahra,100.0,145000.0,3.0,2
Ariana Ville,111.0,195000.0,2.0,2
Ariana Ville,125.0,130000.0,3.0,2
Nouvelle Medina,118.0,272000.0,2.0,2
El Kabbaria,77.0,120000.0,2.0,1
La Soukra,100.0,250000.0,3.0,2
El Menzah,30.0,100000.0,1.0,1
Raoued,78.0,170000.0,2.0,1
El Mourouj,93.0,130000.0,2.0,1
La Marsa,145.0,400000.0,3.0,2
El Kabbaria,100.0,150000.0,3.0,2
Cite El Khadra,115.0,210000.0,3.0,2
Ariana Ville,110.0,190000.0,3.0,2
Ain Zaghouan,139.0,260000.0,3.0,2
La Marsa,60.0,26000.0,1.0,1
Mnihla,54.0,100000.0,1.0,1
Ariana Ville,130.0,370000.0,3.0,2
La Marsa,85.0,320000.0,2.0,1
Ain Zaghouan,175.0,430000.0,4.0,3
La Marsa,156.0,336000.0,3.0,3
Ariana Ville,100.0,200000.0,3.0,2
Ariana Ville,134.0,225000.0,3.0,2
Ain Zaghouan,78.0,350000.0,2.0,1
El Mourouj,50.0,90000.0,1.0,1
La Marsa,130.0,256000.0,3.0,2
Ariana Ville,150.0,345000.0,3.0,3
Ariana Ville,79.0,310000.0,2.0,1
Ariana Ville,121.0,270000.0,2.0,2
Ariana Ville,86.0,200000.0,2.0,1
La Marsa,66.0,210000.0,1.0,1
El Menzah,85.0,247000.0,2.0,1
El Menzah,135.0,330000.0,3.0,2
Ain Zaghouan,187.0,350000.0,3.0,3
Ain Zaghouan,124.0,477400.0,2.0,2
Ariana Ville,105.0,189000.0,2.0,2
La Marsa,154.0,345000.0,3.0,3
Ain Zaghouan,150.0,397000.0,2.0,2
Ariana Ville,73.0,170000.0,2.0,1
Ain Zaghouan,85.0,185000.0,2.0,1
El Ouerdia,130.0,190000.0,3.0,2
La Soukra,115.0,165000.0,3.0,2
La Soukra,75.0,250000.0,2.0,1
El Mourouj,60.0,85000.0,1.0,1
Cite El Khadra,180.0,980000.0,4.0,3
Ain Zaghouan,165.0,665000.0,3.0,3
El Menzah,106.0,240000.0,3.0,2
El Ouerdia,85.0,350000.0,2.0,1
La Marsa,52.0,167000.0,1.0,1
La Soukra,179.0,420000.0,4.0,3
Ain Zaghouan,73.0,190000.0,2.0,1
Bab Bhar,95.0,240000.0,2.0,1
Carthage,75.0,195000.0,2.0,1
La Goulette,163.0,410000.0,3.0,3
La Marsa,120.0,359000.0,3.0,2
Ain Zaghouan,172.0,688000.0,3.0,3
Ariana Ville,111.0,170000.0,3.0,2
El Menzah,30.0,145000.0,1.0,1
Bab Bhar,140.0,240000.0,3.0,2
Ariana Ville,100.0,270000.0,3.0,2
Ain Zaghouan,137.0,500000.0,3.0,2
Raoued,65.0,110000.0,1.0,1
Ettahrir,120.0,190000.0,3.0,2
Ain Zaghouan,67.0,330000.0,1.0,1
El Omrane Superieur,110.0,125000.0,3.0,2
La Marsa,154.0,324000.0,3.0,3
La Goulette,140.0,630000.0,3.0,2
La Marsa,138.0,290000.0,3.0,2
La Soukra,115.0,380000.0,2.0,2
La Marsa,140.0,320000.0,3.0,2
Ain Zaghouan,131.0,488000.0,2.0,2
Ariana Ville,180.0,405000.0,4.0,3
El Mourouj,82.0,135000.0,2.0,1
Ariana Ville,110.0,300000.0,3.0,2
Ariana Ville,124.0,240000.0,3.0,2
Ain Zaghouan,42.0,250000.0,1.0,1
Mnihla,140.0,360000.0,3.0,2
La Marsa,146.0,300000.0,3.0,2
Megrine,116.0,200000.0,2.0,2
Ariana Ville,46.0,170000.0,1.0,1
El Menzah,145.0,430000.0,3.0,2
Ain Zaghouan,49.0,220000.0,1.0,1
Raoued,70.0,120000.0,2.0,1
Mannouba,96.0,170000.0,2.0,1
Rades,70.0,140000.0,2.0,1
Cite El Khadra,82.0,185000.0,2.0,1
Ain Zaghouan,93.0,240000.0,2.0,1
La Soukra,90.0,110000.0,2.0,1
El Menzah,60.0,165000.0,1.0,1
El Omrane Superieur,112.0,142000.0,2.0,2
Ariana Ville,114.0,310000.0,3.0,2
Mannouba,124.0,180000.0,3.0,2
La Soukra,75.0,280000.0,2.0,1
Raoued,97.0,178000.0,2.0,1
Ain Zaghouan,90.0,255000.0,2.0,1
Bab Bhar,55.0,75000.0,1.0,1
El Mourouj,75.0,135000.0,2.0,1
Ariana Ville,70.0,180000.0,2.0,1
Bab Bhar,70.0,235000.0,2.0,1
El Mourouj,155.0,340000.0,3.0,3
Ain Zaghouan,60.0,180000.0,1.0,1
El Mourouj,77.0,165000.0,2.0,1
Bab Bhar,75.0,135000.0,2.0,1
Ariana Ville,98.0,105000.0,2.0,1
La Marsa,70.0,267000.0,2.0,1
