category,room_count,bathroom_count,size,type,price,city,region
Appartements,4.0,1.0,110.0,À Vendre,143000.0,2,72
Appartements,4.0,1.0,140.0,À Vendre,235000.0,2,52
Appartements,3.0,3.0,160.0,À Vendre,350000.0,2,16
Appartements,3.0,1.0,120.0,À Vendre,150000.0,2,36
Appartements,3.0,1.0,100.0,À Vendre,150000.0,2,72
Appartements,3.0,3.0,135.0,À Vendre,300000.0,2,31
Appartements,3.0,2.0,120.0,À Vendre,220000.0,2,32
Appartements,2.0,2.0,124.0,À Vendre,200000.0,2,32
Appartements,2.0,2.0,129.0,À Vendre,360000.0,2,16
Appartements,3.0,1.0,100.0,À Vendre,130000.0,2,83
Appartements,3.0,2.0,135.0,À Vendre,280000.0,2,31
Appartements,3.0,2.0,151.0,À Vendre,335000.0,2,31
Appartements,2.0,1.0,90.0,À Vendre,210000.0,2,31
Appartements,3.0,1.0,122.0,À Vendre,185000.0,2,16
Appartements,3.0,1.0,121.0,À Vendre,185000.0,2,16
Appartements,3.0,1.0,111.0,À Vendre,300000.0,2,31
Appartements,3.0,1.0,150.0,À Vendre,390000.0,2,16
Appartements,3.0,2.0,198.0,À Vendre,420000.0,2,31
Appartements,4.0,3.0,174.0,À Vendre,511536.0,2,31
Appartements,3.0,3.0,158.0,À Vendre,345000.0,2,16
Appartements,2.0,2.0,125.0,À Vendre,259000.0,2,31
Appartements,4.0,2.0,205.0,À Vendre,295000.0,2,31
Appartements,2.0,2.0,117.0,À Vendre,259000.0,2,31
Appartements,2.0,1.0,92.0,À Vendre,195000.0,2,32
Appartements,1.0,1.0,60.0,À Vendre,120000.0,2,16
Appartements,2.0,2.0,90.0,À Vendre,125000.0,2,32
Appartements,1.0,1.0,114.0,À Vendre,143000.0,2,32
Appartements,1.0,1.0,71.0,À Vendre,160000.0,2,83
Appartements,3.0,3.0,162.0,À Vendre,416000.0,2,16
Appartements,1.0,1.0,60.0,À Vendre,150000.0,2,32
Appartements,1.0,1.0,68.0,À Vendre,178000.0,2,83
Appartements,3.0,2.0,156.0,À Vendre,285000.0,2,31
Appartements,3.0,3.0,198.0,À Vendre,420000.0,2,31
Appartements,3.0,1.0,109.0,À Vendre,180000.0,2,32
Appartements,3.0,1.0,80.0,À Vendre,130000.0,2,16
Appartements,3.0,3.0,175.0,À Vendre,330000.0,2,78
Appartements,3.0,1.0,124.0,À Vendre,250000.0,2,16
Appartements,4.0,2.0,180.0,À Vendre,310000.0,2,16
Appartements,2.0,1.0,111.0,À Vendre,170000.0,2,72
Appartements,1.0,1.0,54.0,À Vendre,150000.0,2,72
Appartements,2.0,1.0,126.0,À Vendre,250000.0,2,31
Appartements,3.0,2.0,134.0,À Vendre,355000.0,2,31
Appartements,2.0,1.0,117.0,À Vendre,220000.0,2,28
Appartements,2.0,2.0,138.0,À Vendre,358000.0,2,31
Appartements,4.0,1.0,150.0,À Vendre,375000.0,2,72
Appartements,1.0,1.0,48.0,À Vendre,150000.0,2,31
Appartements,3.0,1.0,156.0,À Vendre,340000.0,2,16
Appartements,2.0,1.0,72.0,À Vendre,81000.0,2,78
Appartements,2.0,1.0,109.0,À Vendre,175000.0,2,32
Appartements,4.0,1.0,147.0,À Vendre,260000.0,2,52
Appartements,4.0,1.0,127.0,À Vendre,255000.0,2,32
Appartements,4.0,1.0,147.0,À Vendre,257750.0,2,52
Appartements,3.0,2.0,106.0,À Vendre,190000.0,2,32
Appartements,2.0,2.0,94.0,À Vendre,145000.0,2,32
Appartements,1.0,2.0,64.0,À Vendre,115000.0,2,32
Appartements,2.0,1.0,80.0,À Vendre,120000.0,2,28
Appartements,2.0,1.0,160.0,À Vendre,340000.0,2,16
Appartements,2.0,1.0,88.0,À Vendre,190000.0,2,83
Appartements,3.0,1.0,108.0,À Vendre,185000.0,2,72
Appartements,3.0,1.0,103.0,À Vendre,150000.0,2,72
Appartements,4.0,1.0,145.0,À Vendre,288000.0,2,31
Appartements,3.0,1.0,120.0,À Vendre,215000.0,2,83
Appartements,1.0,1.0,50.0,À Vendre,150000.0,2,31
