,Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
1217,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,54.0,1600000.0,15/07/2023
1218,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,142.0,588000.0,27/01/2023
1219,ben arous,mourouj,El Mourouj,Sale,4-room apartment,105.0,227000.0,23/10/2023
1220,tunis,marsa,La Marsa,Sale,2-room apartment,108.0,250000.0,22/09/2023
1221,tunis,marsa,La Marsa,Sale,2-room apartment,92.0,257000.0,05/12/2023
1222,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,2-room apartment,119.0,237000.0,26/10/2023
1223,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,2-room apartment,353.0,350000.0,05/12/2023
1224,tunis,marsa,La Marsa,Sale,3-room apartment,104.0,315000.0,02/12/2023
1225,ariana,soukra,La Soukra,Sale,2-room apartment,150.0,190000.0,22/05/2023
1226,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,95.0,150000.0,11/11/2023
1227,ben arous,mourouj,El Mourouj,Sale,4-room apartment,107.0,227000.0,21/11/2023
1228,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,49.0,130000.0,14/01/2023
1229,tunis,menzah,El Menzah,Sale,4-room apartment,100.0,300000.0,12/08/2023
1230,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,68.0,339000.0,04/07/2023
1231,ben arous,hammam chott,Hammam Chatt,Sale,2-room apartment,94.0,165000.0,28/11/2023
1232,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,155.0,330000.0,18/06/2023
1233,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,100.0,330000.0,10/10/2023
1234,ben arous,hammam lif,Hammam Lif,Sale,3-room apartment,115.0,260000.0,04/08/2023
1235,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,140.0,180000.0,08/05/2023
1236,tunis,marsa,La Marsa,Sale,2-room apartment,87.0,230000.0,15/09/2023
1237,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,70.0,267000.0,03/11/2023
1238,tunis,marsa,La Marsa,Sale,1-room apartment,43.0,115000.0,29/09/2023
1239,ben arous,mourouj,El Mourouj,Sale,4-room apartment,107.0,159000.0,22/11/2023
1240,ben arous,hammam chott,Hammam Chatt,Sale,3-room apartment,107.0,170000.0,02/01/2023
1241,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,155.0,385000.0,09/09/2023
1242,tunis,menzah,El Menzah,Sale,4-room apartment,180.0,450000.0,14/09/2023
1243,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,160.0,500000.0,12/10/2023
1244,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,177.0,674500.0,07/09/2023
1245,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,82.0,255000.0,18/06/2023
1246,tunis,menzah,El Menzah,Sale,1-room apartment,48.0,130000.0,23/11/2023
1247,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,62.0,160000.0,16/11/2023
1248,tunis,menzah,El Menzah,Sale,4-room apartment,100.0,200000.0,02/11/2023
1249,ariana,soukra,La Soukra,Sale,2-room apartment,124.0,230000.0,19/05/2023
1250,ben arous,ben arous,Ben Arous,Sale,3-room apartment,70.0,150000.0,15/11/2023
1251,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,158.0,580000.0,08/09/2023
1252,ben arous,rades,Rades,Sale,3-room apartment,135.0,290000.0,11/05/2023
1253,ben arous,mourouj,El Mourouj,Sale,2-room apartment,85.0,125000.0,10/07/2023
1254,ariana,soukra,La Soukra,Sale,3-room apartment,105.0,255000.0,23/10/2023
1255,ariana,soukra,La Soukra,Sale,5-room apartment and more,180.0,420000.0,24/10/2023
1256,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,110.0,210000.0,06/10/2023
1258,ben arous,mourouj,El Mourouj,Sale,4-room apartment,108.0,150000.0,07/11/2023
1259,ben arous,ezzahra,Ezzahra,Sale,3-room apartment,100.0,210000.0,16/05/2023
1260,tunis,marsa,La Marsa,Sale,3-room apartment,170.0,550000.0,15/11/2023
1261,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,127.0,390000.0,19/09/2023
1262,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,125.0,320000.0,05/12/2023
1263,ben arous,mornag,Mornag,Sale,2-room apartment,90.0,110000.0,03/12/2023
1264,manouba,mannouba,Mannouba,Sale,3-room apartment,121.0,250000.0,05/07/2022
1265,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,212.0,625000.0,26/05/2023
1266,ben arous,ben arous,Ben Arous,Sale,3-room apartment,80.0,75000.0,18/10/2023
1267,tunis,kram,El Kram,Sale,4-room apartment,180.0,350000.0,18/11/2023
1268,ariana,soukra,La Soukra,Sale,3-room apartment,110.0,315000.0,14/04/2023
1269,manouba,mannouba,Mannouba,Sale,1-room apartment,42.0,92000.0,26/11/2023
1270,tunis,marsa,La Marsa,Sale,3-room apartment,90.0,330000.0,05/10/2023
1271,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,85.0,160000.0,30/11/2023
1272,tunis,marsa,La Marsa,Sale,4-room apartment,143.0,430000.0,25/10/2023
1273,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,80.0,130000.0,15/10/2023
1274,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,75.0,150000.0,06/12/2023
1275,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,142.0,325000.0,19/11/2023
1276,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,193.0,460000.0,02/04/2023
1277,ben arous,hammam chott,Hammam Chatt,Sale,3-room apartment,100.0,200000.0,05/12/2023
1278,tunis,menzah,El Menzah,Sale,3-room apartment,150.0,200000.0,02/12/2023
1279,ben arous,hammam chott,Hammam Chatt,Sale,4-room apartment,105.0,170000.0,10/11/2023
1280,ariana,raoued,Raoued,Sale,3-room apartment,85.0,112000.0,17/05/2023
1281,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,113.0,263000.0,27/10/2023
1282,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,82.0,180000.0,30/04/2023
1283,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,120.0,260000.0,01/11/2023
1284,tunis,marsa,La Marsa,Sale,2-room apartment,110.0,480000.0,23/02/2023
1285,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,21/11/2023
1286,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,224.0,680000.0,03/12/2023
1287,tunis,menzah,El Menzah,Sale,3-room apartment,100.0,260000.0,13/10/2023
1288,ben arous,mourouj,El Mourouj,Sale,3-room apartment,115.0,205000.0,04/09/2023
1289,ariana,mnihla,Mnihla,Sale,4-room apartment,147.0,370000.0,24/10/2023
1290,ariana,soukra,La Soukra,Sale,4-room apartment,170.0,530000.0,28/10/2023
1291,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,100.0,190000.0,21/11/2023
1292,ariana,raoued,Raoued,Sale,3-room apartment,150.0,280000.0,27/11/2023
1293,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,136.0,549000.0,25/08/2023
1294,tunis,marsa,La Marsa,Sale,4-room apartment,170.0,450000.0,06/01/2022
1295,tunis,menzah,El Menzah,Sale,4-room apartment,64.0,230000.0,09/08/2023
1296,tunis,marsa,La Marsa,Sale,2-room apartment,130.0,260000.0,29/07/2023
1297,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,95.0,215000.0,14/09/2021
1298,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,110.0,300000.0,16/11/2023
1299,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,96.0,180000.0,06/07/2023
1300,tunis,menzah,El Menzah,Sale,3-room apartment,95.0,270000.0,11/08/2023
1301,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,152.0,326000.0,25/08/2023
1302,ben arous,hammam chott,Hammam Chatt,Sale,4-room apartment,127.0,170000.0,08/11/2022
1303,tunis,marsa,La Marsa,Sale,3-room apartment,130.0,255000.0,21/10/2023
1304,tunis,menzah,El Menzah,Sale,3-room apartment,72.0,300000.0,02/11/2023
1305,ben arous,mourouj,El Mourouj,Sale,3-room apartment,85.0,117000.0,13/11/2023
1306,ben arous,megrine,Megrine,Sale,4-room apartment,105.0,195000.0,11/11/2023
1307,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,85.0,375000.0,27/11/2023
1308,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,85.0,270000.0,05/10/2023
1309,ariana,soukra,La Soukra,Sale,2-room apartment,89.0,270000.0,19/04/2023
1310,ben arous,medina jedida,Nouvelle Medina,Sale,4-room apartment,90.0,150000.0,14/09/2023
1311,tunis,marsa,La Marsa,Sale,2-room apartment,200.0,550000.0,23/11/2023
1312,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,126.0,240000.0,01/12/2023
1313,tunis,menzah,El Menzah,Sale,3-room apartment,75.0,230000.0,04/12/2023
1314,ariana,soukra,La Soukra,Sale,3-room apartment,80.0,170000.0,13/11/2023
1315,ariana,soukra,La Soukra,Sale,3-room apartment,87.0,290000.0,20/09/2023
1316,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,207.0,560000.0,26/09/2023
1317,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,59.0,250000.0,01/11/2023
1318,tunis,menzah,El Menzah,Sale,3-room apartment,110.0,240000.0,27/11/2023
1319,tunis,marsa,La Marsa,Sale,2-room apartment,110.0,285000.0,29/11/2023
1320,tunis,ain zaghouan,Ain Zaghouan,Sale,5-room apartment and more,150.0,290000.0,16/03/2023
1321,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,66.0,290000.0,13/04/2023
1322,tunis,bab souika,Bab Souika,Sale,3-room apartment,85.0,170000.0,20/12/2022
1323,tunis,marsa,La Marsa,Sale,2-room apartment,95.0,225000.0,11/10/2023
1324,tunis,marsa,La Marsa,Sale,2-room apartment,112.0,253000.0,01/12/2023
1325,ariana,soukra,La Soukra,Sale,2-room apartment,105.0,210000.0,28/11/2023
1326,ben arous,mourouj,El Mourouj,Sale,3-room apartment,90.0,148000.0,02/10/2023
1327,ariana,soukra,La Soukra,Sale,2-room apartment,115.0,359000.0,03/01/2023
1328,tunis,marsa,La Marsa,Sale,3-room apartment,46.0,175000.0,20/11/2023
1329,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,112.0,255000.0,25/10/2023
1330,manouba,mannouba,Mannouba,Sale,2-room apartment,72.0,180000.0,31/10/2023
1331,ariana,soukra,La Soukra,Sale,3-room apartment,110.0,220000.0,11/08/2023
1332,ben arous,hammam lif,Hammam Lif,Sale,5-room apartment and more,200.0,275000.0,21/11/2023
1333,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,162.0,350000.0,14/10/2023
1335,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,240000.0,09/05/2023
1336,tunis,marsa,La Marsa,Sale,3-room apartment,320.0,1800000.0,11/07/2023
1337,tunis,marsa,La Marsa,Sale,3-room apartment,138.0,270000.0,05/08/2023
1338,tunis,marsa,La Marsa,Sale,1-room apartment,60.0,185000.0,05/12/2023
1339,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,80.0,180000.0,06/10/2023
1340,tunis,omrane superieur,El Omrane Superieur,Sale,4-room apartment,110.0,160000.0,26/11/2023
1341,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,129.0,532000.0,17/04/2023
1342,ariana,soukra,La Soukra,Sale,4-room apartment,347.0,1350000.0,03/11/2023
1344,ben arous,medina jedida,Nouvelle Medina,Sale,2-room apartment,122.0,210000.0,06/12/2023
1345,tunis,menzah,El Menzah,Sale,4-room apartment,110.0,300000.0,27/07/2023
1346,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,86.0,190000.0,24/06/2023
1347,tunis,ain zaghouan,Ain Zaghouan,Sale,5-room apartment and more,200.0,360000.0,12/09/2023
1348,tunis,ettahrir,Ettahrir,Sale,2-room apartment,148.0,270000.0,11/10/2023
1349,ben arous,mourouj,El Mourouj,Sale,3-room apartment,85.0,125000.0,15/10/2023
1350,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,156.0,424000.0,13/03/2023
1351,tunis,marsa,La Marsa,Sale,2-room apartment,95.0,410000.0,20/10/2023
1352,ben arous,ben arous,Ben Arous,Sale,4-room apartment,98.0,100000.0,27/07/2023
1353,tunis,marsa,La Marsa,Sale,2-room apartment,130.0,680000.0,08/09/2023
1355,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,145.0,450000.0,16/11/2023
1356,tunis,carthage,Carthage,Sale,3-room apartment,75.0,190000.0,29/08/2023
1357,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,146.0,360000.0,26/10/2023
1358,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,134.0,500000.0,04/12/2023
1359,ben arous,medina jedida,Nouvelle Medina,Sale,1-room apartment,115.0,200000.0,02/10/2023
1360,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,113.0,590000.0,18/10/2023
1361,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,156.0,260000.0,28/11/2023
1362,tunis,marsa,La Marsa,Sale,3-room apartment,47.0,350000.0,06/11/2023
1363,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,46.0,170000.0,19/11/2023
1364,ben arous,medina jedida,Nouvelle Medina,Sale,1-room apartment,122.0,220000.0,10/11/2023
1365,ariana,soukra,La Soukra,Sale,4-room apartment,106.0,132000.0,28/03/2022
1366,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,137.0,370000.0,07/06/2023
1367,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,373.0,920000.0,12/11/2023
1368,ariana,raoued,Raoued,Sale,4-room apartment,151.0,310000.0,14/08/2023
1369,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,2-room apartment,115.0,290000.0,09/09/2023
1370,ben arous,medina jedida,Nouvelle Medina,Sale,5-room apartment and more,210.0,300000.0,30/10/2023
1371,tunis,marsa,La Marsa,Sale,3-room apartment,110.0,250000.0,02/10/2023
1372,tunis,marsa,La Marsa,Sale,4-room apartment,180.0,420000.0,23/11/2023
1373,tunis,omrane superieur,El Omrane Superieur,Sale,4-room apartment,90.0,165000.0,18/09/2023
1374,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,60.0,137000.0,20/07/2023
1375,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,140.0,280000.0,18/11/2023
1376,ariana,soukra,La Soukra,Sale,1-room apartment,130.0,150000.0,30/11/2023
1377,tunis,hrairia,El Hrairia,Sale,2-room apartment,60.0,70000.0,19/08/2023
1378,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,35.0,90000.0,08/07/2023
1379,tunis,marsa,La Marsa,Sale,3-room apartment,75.0,200000.0,27/10/2023
1380,tunis,menzah,El Menzah,Sale,4-room apartment,110.0,200000.0,06/12/2023
1381,tunis,marsa,La Marsa,Sale,1-room apartment,170.0,1000000.0,13/09/2023
1382,ben arous,mourouj,El Mourouj,Sale,3-room apartment,75.0,140000.0,20/10/2023
1383,manouba,mannouba,Mannouba,Sale,2-room apartment,70.0,160000.0,31/03/2023
1384,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,100.0,270000.0,08/11/2023
1385,tunis,marsa,La Marsa,Sale,1-room apartment,220.0,1200000.0,23/10/2023
1386,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,70.0,190000.0,28/10/2023
1387,tunis,bardo,Le Bardo,Sale,3-room apartment,81.0,80000.0,22/08/2023
1388,tunis,menzah,El Menzah,Sale,5-room apartment and more,165.0,450000.0,31/07/2023
1389,ariana,soukra,La Soukra,Sale,1-room apartment,152.0,460000.0,11/11/2023
1390,ariana,soukra,La Soukra,Sale,3-room apartment,114.0,255000.0,23/08/2023
1391,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,185.0,1060000.0,17/10/2023
1392,tunis,marsa,La Marsa,Sale,1-room apartment,60.0,170000.0,27/11/2023
1393,ariana,soukra,La Soukra,Sale,3-room apartment,162.0,495000.0,04/01/2023
1394,tunis,marsa,La Marsa,Sale,1-room apartment,94.0,675000.0,20/10/2023
1395,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,70.0,230000.0,08/09/2023
1396,ben arous,ben arous,Ben Arous,Sale,3-room apartment,90.0,210000.0,08/11/2022
1397,ben arous,mourouj,El Mourouj,Sale,4-room apartment,110.0,130000.0,21/11/2023
1398,tunis,kram,El Kram,Sale,5-room apartment and more,400.0,650000.0,25/01/2023
1399,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,151.0,400000.0,29/09/2023
1401,tunis,ouerdia,El Ouerdia,Sale,3-room apartment,150.0,260000.0,04/10/2023
1402,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,60.0,160000.0,10/04/2023
1403,tunis,marsa,La Marsa,Sale,3-room apartment,165.0,350000.0,09/06/2023
1404,tunis,marsa,La Marsa,Sale,4-room apartment,287.0,660000.0,05/12/2023
1405,ben arous,mourouj,El Mourouj,Sale,2-room apartment,78.0,140000.0,10/10/2022
1406,ariana,raoued,Raoued,Sale,4-room apartment,144.0,329000.0,24/07/2023
1407,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,136.0,335000.0,31/07/2023
1408,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,4-room apartment,150.0,190000.0,10/11/2023
1409,ben arous,ben arous,Ben Arous,Sale,5-room apartment and more,345.0,330000.0,11/11/2023
1410,tunis,bab souika,Bab Souika,Sale,3-room apartment,100.0,285000.0,23/08/2023
1411,ben arous,ben arous,Ben Arous,Sale,5-room apartment and more,320.0,370000.0,28/07/2023
1412,tunis,carthage,Carthage,Sale,3-room apartment,155.0,450000.0,29/03/2023
1413,tunis,marsa,La Marsa,Sale,3-room apartment,230.0,950000.0,10/01/2023
1414,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,270.0,280000.0,06/10/2023
1415,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,70.0,120000.0,10/11/2023
1416,tunis,ouerdia,El Ouerdia,Sale,2-room apartment,80.0,120000.0,09/09/2023
1417,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,100.0,500000.0,05/09/2023
1418,ariana,soukra,La Soukra,Sale,4-room apartment,108.0,250000.0,20/07/2023
1419,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,158.0,350000.0,05/12/2023
1420,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,135.0,385000.0,24/11/2023
1421,ben arous,fouchana,Fouchana,Sale,2-room apartment,90.0,135000.0,30/10/2023
1423,tunis,sidi el bechir,Sidi El Bechir,Sale,4-room apartment,80.0,115000.0,08/07/2023
1424,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,180.0,360000.0,13/09/2023
1425,tunis,marsa,La Marsa,Sale,3-room apartment,137.0,600000.0,29/10/2022
1426,tunis,marsa,La Marsa,Sale,3-room apartment,45.0,370000.0,28/11/2023
1427,tunis,marsa,La Marsa,Sale,4-room apartment,110.0,300000.0,22/11/2023
1428,tunis,marsa,La Marsa,Sale,3-room apartment,115.0,300000.0,31/07/2023
1429,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,140.0,240000.0,05/07/2023
1430,tunis,omrane superieur,El Omrane Superieur,Sale,4-room apartment,200.0,410000.0,15/11/2023
1431,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,126.0,275000.0,14/04/2023
1432,tunis,marsa,La Marsa,Sale,1-room apartment,47.0,140000.0,18/09/2023
1433,tunis,cite el khadra,Cite El Khadra,Sale,4-room apartment,120.0,250000.0,14/08/2023
1434,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,90.0,188000.0,17/03/2023
1435,tunis,bardo,Le Bardo,Sale,2-room apartment,69.0,145000.0,20/07/2023
1436,ben arous,ben arous,Ben Arous,Sale,2-room apartment,110.0,130000.0,30/10/2023
1437,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,110.0,500000.0,28/11/2023
1438,tunis,marsa,La Marsa,Sale,4-room apartment,267.0,850000.0,19/05/2023
1439,tunis,marsa,La Marsa,Sale,4-room apartment,240.0,640000.0,24/10/2023
1440,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,154.0,340000.0,03/07/2023
1441,ariana,soukra,La Soukra,Sale,1-room apartment,132.0,470000.0,05/12/2023
1442,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,100.0,250000.0,10/10/2023
1443,ben arous,rades,Rades,Sale,4-room apartment,164.0,320000.0,25/03/2023
1445,ben arous,medina jedida,Nouvelle Medina,Sale,2-room apartment,70.0,100000.0,30/11/2023
1446,tunis,marsa,La Marsa,Sale,3-room apartment,108.0,270000.0,20/07/2023
1447,ariana,soukra,La Soukra,Sale,4-room apartment,135.0,345000.0,31/07/2023
1448,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,220.0,760000.0,20/11/2023
1449,tunis,marsa,La Marsa,Sale,5-room apartment and more,485.0,900000.0,27/02/2023
1450,ariana,ariana ville,Ariana Ville,Sale,1-room apartment,95.0,230000.0,05/12/2023
1451,ben arous,ezzahra,Ezzahra,Sale,3-room apartment,90.0,135000.0,08/11/2023
1452,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,70.0,260000.0,12/09/2023
1453,tunis,carthage,Carthage,Sale,3-room apartment,135.0,300000.0,17/11/2023
1454,ben arous,rades,Rades,Sale,3-room apartment,90.0,240000.0,24/10/2023
1455,tunis,menzah,El Menzah,Sale,3-room apartment,85.0,247000.0,16/11/2023
1456,tunis,marsa,La Marsa,Sale,4-room apartment,200.0,390000.0,06/05/2022
1457,ariana,soukra,La Soukra,Sale,4-room apartment,115.0,180000.0,22/10/2023
1458,ben arous,ben arous,Ben Arous,Sale,3-room apartment,83.0,120000.0,18/03/2023
1459,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,167.0,652000.0,19/10/2023
1460,ariana,soukra,La Soukra,Sale,3-room apartment,125.0,260000.0,31/07/2023
1461,tunis,marsa,La Marsa,Sale,4-room apartment,142.0,335000.0,02/09/2023
1462,ariana,soukra,La Soukra,Sale,1-room apartment,100.0,180000.0,20/08/2023
1463,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,138.0,692000.0,22/10/2023
1464,tunis,bardo,Le Bardo,Sale,3-room apartment,89.0,190000.0,07/09/2023
1465,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,120.0,460000.0,28/07/2022
1466,ariana,soukra,La Soukra,Sale,3-room apartment,129.0,230000.0,20/07/2023
1467,tunis,marsa,La Marsa,Sale,5-room apartment and more,345.0,950000.0,27/02/2023
1468,tunis,marsa,La Marsa,Sale,2-room apartment,103.0,340000.0,10/10/2023
1469,tunis,marsa,La Marsa,Sale,2-room apartment,94.0,450000.0,26/04/2023
1470,tunis,marsa,La Marsa,Sale,1-room apartment,168.0,980000.0,29/11/2023
1471,ben arous,hammam chott,Hammam Chatt,Sale,2-room apartment,103.0,241000.0,17/08/2023
1472,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,214.0,750000.0,22/11/2023
1473,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,96.0,215000.0,31/07/2023
1474,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,124.0,220000.0,20/10/2023
1475,ariana,raoued,Raoued,Sale,4-room apartment,111.0,190000.0,07/09/2023
1477,ariana,raoued,Raoued,Sale,4-room apartment,151.0,380000.0,20/07/2023
1478,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,128.0,230000.0,05/10/2023
1479,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,137.0,499000.0,06/11/2023
1480,ariana,raoued,Raoued,Sale,4-room apartment,120.0,270000.0,08/08/2023
1481,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,150.0,305000.0,16/11/2023
1482,tunis,menzah,El Menzah,Sale,4-room apartment,190.0,450000.0,06/11/2023
1483,tunis,carthage,Carthage,Sale,4-room apartment,135.0,260000.0,31/08/2023
1484,tunis,marsa,La Marsa,Sale,1-room apartment,66.0,485000.0,20/10/2023
1485,ariana,soukra,La Soukra,Sale,4-room apartment,190.0,650000.0,03/10/2023
1486,ariana,soukra,La Soukra,Sale,4-room apartment,155.0,295000.0,19/09/2023
1487,ben arous,ezzahra,Ezzahra,Sale,2-room apartment,90.0,220000.0,09/11/2023
1488,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,80.0,115000.0,30/11/2023
1489,tunis,marsa,La Marsa,Sale,1-room apartment,73.0,230000.0,04/12/2023
1490,ariana,soukra,La Soukra,Sale,5-room apartment and more,245.0,630000.0,03/10/2023
1491,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,127.0,475000.0,10/10/2023
1492,ariana,soukra,La Soukra,Sale,1-room apartment,110.0,396000.0,05/12/2023
1493,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,110.0,230000.0,20/07/2023
1494,manouba,mannouba,Mannouba,Sale,4-room apartment,167.0,270000.0,04/07/2023
1495,ben arous,rades,Rades,Sale,1-room apartment,500.0,500000.0,11/11/2023
1496,tunis,marsa,La Marsa,Sale,4-room apartment,166.0,400000.0,17/10/2023
1497,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,177.0,250000.0,10/03/2023
1498,ariana,soukra,La Soukra,Sale,3-room apartment,100.0,215000.0,16/11/2023
1499,ben arous,mourouj,El Mourouj,Sale,3-room apartment,57.0,119000.0,13/11/2023
1500,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,1-room apartment,109.0,270000.0,06/10/2023
1501,tunis,marsa,La Marsa,Sale,3-room apartment,179.0,450000.0,16/10/2023
1502,tunis,bardo,Le Bardo,Sale,5-room apartment and more,224.0,680000.0,14/11/2023
1503,ben arous,rades,Rades,Sale,2-room apartment,80.0,100000.0,30/10/2023
1506,ben arous,mourouj,El Mourouj,Sale,3-room apartment,500.0,750000.0,24/07/2023
1507,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,70.0,200000.0,16/10/2023
1508,tunis,marsa,La Marsa,Sale,2-room apartment,64.0,170000.0,18/07/2023
1509,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,3-room apartment,142.0,350000.0,25/11/2023
1510,tunis,kram,El Kram,Sale,5-room apartment and more,240.0,850000.0,19/01/2023
1511,tunis,marsa,La Marsa,Sale,2-room apartment,90.0,200000.0,19/09/2023
1512,ben arous,mourouj,El Mourouj,Sale,3-room apartment,110.0,130000.0,27/11/2023
1513,ben arous,mourouj,El Mourouj,Sale,3-room apartment,72.0,120000.0,03/02/2023
1514,ben arous,medina jedida,Nouvelle Medina,Sale,3-room apartment,128.0,250000.0,09/11/2023
1515,tunis,sidi el bechir,Sidi El Bechir,Sale,5-room apartment and more,125.0,250000.0,07/07/2023
1518,tunis,marsa,La Marsa,Sale,3-room apartment,143.0,335000.0,20/10/2023
1519,manouba,mornaguia,Mornaguia,Sale,4-room apartment,160.0,170000.0,26/01/2023
1520,ben arous,rades,Rades,Sale,4-room apartment,83.0,140000.0,24/10/2023
1521,tunis,marsa,La Marsa,Sale,4-room apartment,328.0,700000.0,10/10/2023
1522,tunis,marsa,La Marsa,Sale,4-room apartment,170.0,460000.0,02/04/2021
1523,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,82.0,120000.0,14/08/2023
1524,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,415.0,400000.0,20/10/2023
